epoch 1, loss 0.902649, 
epoch 2, loss 1.809601, 
epoch 3, loss 0.928611, 
epoch 4, loss 0.955247, 
epoch 5, loss 0.867360, 
epoch 6, loss 0.962770, 
epoch 7, loss 0.915859, 
epoch 8, loss 0.796178, 
epoch 9, loss 0.743297, 
epoch 10, loss 0.834545, 
epoch 11, loss 0.952455, 
epoch 12, loss 0.810685, 
epoch 13, loss 0.830115, 
epoch 14, loss 0.745288, 
epoch 15, loss 0.749057, 
epoch 16, loss 0.695023, 
epoch 17, loss 0.679149, 
epoch 18, loss 0.686083, 
epoch 19, loss 0.689040, 
epoch 20, loss 0.698846, 
epoch 21, loss 0.691829, 
epoch 22, loss 0.687073, 
epoch 23, loss 0.698715, 
epoch 24, loss 0.692516, 
epoch 25, loss 0.693546, 
epoch 26, loss 0.698770, 
epoch 27, loss 0.698528, 
epoch 28, loss 0.704138, 
epoch 29, loss 0.707317, 
epoch 30, loss nan, 
epoch 31, loss nan, 
epoch 32, loss nan, 
epoch 33, loss nan, 
epoch 34, loss nan, 
epoch 35, loss nan, 
epoch 36, loss nan, 
epoch 37, loss nan, 
epoch 38, loss nan, 
epoch 39, loss nan, 
epoch 40, loss nan, 
epoch 41, loss nan, 
epoch 42, loss nan, 
epoch 43, loss nan, 
epoch 44, loss nan, 
epoch 45, loss nan, 
epoch 46, loss nan, 
epoch 47, loss nan, 
epoch 48, loss nan, 
epoch 49, loss nan, 
epoch 50, loss nan, 
epoch 51, loss nan, 
epoch 52, loss nan, 
epoch 53, loss nan, 
epoch 54, loss nan, 
epoch 55, loss nan, 
epoch 56, loss nan, 
epoch 57, loss nan, 
epoch 58, loss nan, 
epoch 59, loss nan, 
epoch 60, loss nan, 
